,tweet
0,생일 축하드려요 맛있는거 많이 드시고 생일선물도 많이 받으시고 무엇보다도 오늘 하루 행복한 날 보내세요🎂🥳🎉 이벤트 감사합니다🙇‍♀️🤍 6
1,佐野真一郎誕生祭2022 신쨩 생축🥳🎉🎉
2,모든 스테이들 생일 축하해요🤗🥳 요즘 자주 못들어오지만 이건 챙겨야할 것 같아서😘 오늘 하루 행복하게 보내용❣️🍀
3,17 미리 축ㄱ하해🥳🥳🥳
4,워너원 영원히 😌❤️😘😂😭🥹🥳🤣😍☺️💕👌🥰😇😍😘😚😙☺️🥲😅🤩🥳😚😛🫣🤗🤭🤩
5,승훈이 달리기 동메달 쭈까해  캐머싯어 ㅠ 🥳💋👍🏻   승훈 74
6,꺅 엄지님 생일 축하드려요🎉  8월을 엄지님의 생일과 함께 시작해서 기분이 좋습니다🥳  시원하고 맛난거 많이 드시고 최고로 행복한 생일날 보내세요🎁🎂 6
7,1 허얼 언니이이 ㅠㅠ 나도 8월도 9월도 10월도 11월도 12월도 잘 부탁행🥳🥳❤️❤️❤️❤️❤️
8,122 네에네ㅔ 너무 좋아요🥳🥳🥳
9,7 벤더님 생일 축하드려요🥳🥳 오늘 하루 맛난 음식 많이 드시고 좋은 하루 보내셨으면은 좋겠어요😃😃 8
10,03 축하햐에에🥳🎉🥳🎉🥳🥳🎉🥳🎉
11,흐항 1트씽나🥳😆
12,자컨 없나유이거 뭐 생일상에 미역국 없는 기분이네 🥳
13,高海千歌生誕祭2022 高海千歌誕生祭2022  생일축하해 귤공쥬🍊🍊🍊🥳🥳  사랑해🍊🍊🧡🧡  98 010
14,헉 약계님 생일이세요  생일 넘넘넘 축하드리구 맛난 거 많이 드시구 행복한 하루 보내셨음 좋겠어요🥳🥳🥳💚💚
15,매년 돌아오지만 매번 즐거운 날🥳 04
16,24 영원한차일드우리마크생일축하해  중요한 사람의 생일🥳🎉🎉🎉🎉 올해도 축하할 수 있어 기뻐ㅓ 0
17,💚  💚🎂🎉             💚 마크 생일 축하해요 🥳 네 생일이 좋은 추억으로 가득하길 바라  24  127 4271 60
18,축하드려용🥳🥳🥳🎉🎉🎉👍👍👍
19,하나만 사면 정 없우니까 🥳 59
20,축하해요🥳
21,10 헐  잊어줘 ✨ 기억삭제  단디 언니300팔 축하행 알라뷰💖🥳💖
22,고마워요 🥳🥳
23,0 안녕하세요 저도 한국어를 배우고 있어요      🥳
24,2 드디어 생기셨구나 축하해요 🥳어차피 셔츠넥레는 풀팡님꺼였어 탐라에서 애타게 셔츠넥레 외치시길래 맘아팠는데 같이 기뻐하고 싶어서 백만번 고민하다 잠시 기웃거리고 갑니다 👀
25,생일축하드려요🫶🏻🥳
26,🥳🐥🥳  100     우리지민위드유100일 100
27,佐野真一郎生誕祭2022 佐野真一郎誕生祭2022 東卍 🎉신이치로 생축🥳🎉 4110
